id;sold_price;basketball;weekday;rolling_supply_estimate;bitcoin_closing_price;ethereum_closing_price;seller;seller_feedback_score;card_listing_format_buy_it_now;active_player;card_id;card_grade
1969;59.95;1;Sunday;#N/A;57523.42;1788.22;cuda70dbh;3155;1;0;grant hill-1994-1;9
1970;1400;1;Monday;72460;54207.32;1781.99;probstein123;827746;0;0;kobe bryant-1996-1;10
1971;34.56;0;Sunday;#N/A;57523.42;1788.22;californiacasper;269;1;0;jim thome-1992-0;10
1972;99.99;1;Friday;76358;55888.13;1960.16;pikespeakdealz;4070;1;1;cam reddish-2019-1;10
1973;0.99;1;Tuesday;57454;36069.81;1377.3;burbanksportscards;349165;1;0;larry johnson-1992-1;9
1974;113;0;Sunday;71601;33114.36;1314.99;fregill-0;239;0;0;frank thomas-1990-0;10
1975;76;0;Sunday;73919;38903.44;1614.23;4_sharp_corners;294367;0;1;andrew benintendi-2015-0;9.5
1976;1.5;1;Monday;69067;55907.2;1791.7;burbanksportscards;349404;1;0;šarūnas jasikevičius-2005-1;9
1977;282.77;1;Sunday;68013;59302.32;1854.56;flore-166;51;0;0;kobe bryant-1999-1;10
1978;30;1;Sunday;64844;38903.44;1614.23;christiansclutchcards;295;1;1;stephen curry-2019-1;9
1979;1.25;0;Friday;76773;38144.31;1718.65;burbanksportscards;349203;1;0;lee may-1972-0;5
1980;19.99;0;Saturday;105482;61243.08;1924.69;gograded;48883;1;1;shohei ohtani-2018-0;9
1981;49.99;0;Tuesday;74462;32569.85;1357.06;bigbreaksports;14660;1;1;dominic smith-2013-0;8
1982;2.75;0;Tuesday;#N/A;54738.94;1678.65;ultimatecardsandcoins;27564;1;0;roy white-1972-0;9
1983;59.95;1;Friday;69496;47504.85;1843.53;nlpchemist;3887;1;0;ray allen-1996-1;9
1984;955;0;Thursday;92546;47093.85;1475.7;pwcc_auctions;277710;0;0;roberto clemente-1965-0;8
1985;1.75;1;Thursday;#N/A;39187.33;1218.45;burbanksportscards;349158;1;0;bob dandridge-1978-1;9
1986;19.8;1;Tuesday;73152;49199.87;1781.07;comc_consignment;410248;1;0;charles barkley-1989-1;9
1987;66.39;0;Sunday;84615;57539.94;1935.6;msubearfan9;2673;1;0;ben wade-1953-0;6
1988;500;1;Wednesday;68454;44918.18;1744.24;mullllllly1;917;1;0;walter davis-1986-1;10
1989;180;1;Sunday;#N/A;57523.42;1788.22;mjphoops;156;0;1;luka dončić-2018-1;10
1990;114.99;1;Wednesday;59349;30432.55;1253.19;onebyonedean;207;1;0;magic johnson-1989-1;9
1991;250;0;Monday;89539;49631.24;1564.71;scrollin60;1178;1;1;aaron judge-2017-0;9.5
1992;204.79;1;Tuesday;#N/A;54738.94;1678.65;probstein123;828211;0;1;luka dončić-2018-1;9.5
1993;30;1;Wednesday;57988;35547.75;1382.27;beaton-cards;134;0;1;kyle kuzma-2017-1;9
1994;17.99;0;Tuesday;97444;54824.12;1868.05;sherrisobsessions;4232;1;0;nolan ryan-1978-0;8
1995;18.99;0;Wednesday;110923;58870.89;1823.45;aztechengineer;4962;1;0;jerry coleman-1952-0;2
1996;1399.99;1;Wednesday;67196;50538.24;1575.85;toyzandgoodiez;393;1;1;shai gilgeous-alexander-2018-1;10
1997;5.4;0;Wednesday;76140;37472.09;1660.91;dollar-deal-cards;1416;1;1;trevor may-2010-0;9
1998;35;0;Friday;74852;34316.39;1382.52;superiorsportsinvestments;104017;1;1;stephen strasburg-2010-0;9
1999;0.99;1;Sunday;64809;45137.77;1416.05;burbanksportscards;349306;1;0;kevin garnett-2002-1;9
2000;1.18;0;Saturday;74126;39266.01;1677.85;oldsportcollectibles;30139;1;0;pat kelly-1971-0;5
2001;98;1;Thursday;66580;48561.17;1541.91;kojcollectibles;1279;0;0;michael jordan-1990-1;9
